"RG","TG","COEF","RE","absCOEF"
"EFNB1_CD9","EFNB1","CD9",0.203697152130147,0.00148503615250898,0.203697152130147
"OXT_CD9","OXT","CD9",0.54890894951937,0.00323117189275561,0.54890894951937
"TIMP1_CD9","TIMP1","CD9",0.0419973051906375,0.0148403751371201,0.0419973051906375
"PDAP1_CD9","PDAP1","CD9",0.0139299188923998,0.00573834455075363,0.0139299188923998
"PLXNA1_CD9","PLXNA1","CD9",0.554755965813568,0.00343411821107789,0.554755965813568
"EPHA4_CD9","EPHA4","CD9",0.0489347494781189,0.00229017695219875,0.0489347494781189
"APOA1_CD9","APOA1","CD9",0.000615783198546148,5.20235403237347e-06,0.000615783198546148
"PGF_CD9","PGF","CD9",0.668605618300328,0.00611972199208699,0.668605618300328
"ADGRB2_CD9","ADGRB2","CD9",-0.2295072865499,0.00126965881417919,0.2295072865499
"RAMP3_CD9","RAMP3","CD9",0.625134042291638,0.00437013239480037,0.625134042291638
"RECK_CD9","RECK","CD9",0.264256510276358,0.00643740744960388,0.264256510276358
"PLAU_CD9","PLAU","CD9",0.782974269587061,0.00781038538119818,0.782974269587061
"LDLR_CD9","LDLR","CD9",0.00421414452946248,0.000466938734718444,0.00421414452946248
"APOE_CD9","APOE","CD9",0.0638971854098005,0.0128293600205391,0.0638971854098005
"APOC1_CD9","APOC1","CD9",0.0419639576346216,0.00812039935286852,0.0419639576346216
"COL5A1_CD9","COL5A1","CD9",0.00117034876458512,6.88929928389745e-06,0.00117034876458512
"IL13RA1_CD9","IL13RA1","CD9",0.0234071681789442,0.000659194484025559,0.0234071681789442
"GDF11_CD9","GDF11","CD9",0.060906327857145,0.0048254981148728,0.060906327857145
"ACVRL1_CD9","ACVRL1","CD9",0.00392765502375083,2.74571072661027e-05,0.00392765502375083
"COL6A2_CD9","COL6A2","CD9",0.0822082921717361,0.00790212874194958,0.0822082921717361
"TRPM2_CD9","TRPM2","CD9",0.115532370489544,0.0032802022327428,0.115532370489544
"SFRP2_CD9","SFRP2","CD9",0.136415074992495,0.0021365164070578,0.136415074992495
"EGFR_CD9","EGFR","CD9",0.00147223703903675,1.07332145057946e-05,0.00147223703903675
"EPHA1_CD9","EPHA1","CD9",0.100839424331127,0.0042796461963267,0.100839424331127
"LCN2_CD9","LCN2","CD9",0.240667013936632,0.00671969987156426,0.240667013936632
"ADM_CD9","ADM","CD9",0.00194507416318437,7.82383817957793e-05,0.00194507416318437
"NPY1R_CD9","NPY1R","CD9",0.601342167200932,0.00540923271281544,0.601342167200932
"FABP5_CD9","FABP5","CD9",0.013344051859982,0.00336934769772341,0.013344051859982
