"RG","TG","COEF","RE","absCOEF"
"UTS2B_ITGAL","UTS2B","ITGAL",1.69713322456411e-06,8.89710514808801e-09,1.69713322456411e-06
"CCL26_ITGA3","CCL26","ITGA3",0.96303468046579,0.00484757087963588,0.96303468046579
"IL5_ITGA3","IL5","ITGA3",0.975704181881401,0.0074682022303477,0.975704181881401
"PSPN_ITGA3","PSPN","ITGA3",0.957991433310975,0.00424085274350517,0.957991433310975
"DSC1_ITGA3","DSC1","ITGA3",2.04080794813112e-05,1.02726946193723e-07,2.04080794813112e-05
"ACKR2_ITGA3","ACKR2","ITGA3",3.96027292224686e-15,1.99345922661986e-17,3.96027292224686e-15
"KISS1_ITGA3","KISS1","ITGA3",1.18489554561713,0.00597664562787577,1.18489554561713
"PTCH1_ITGA3","PTCH1","ITGA3",6.33103847277593e-07,3.18681750107266e-09,6.33103847277593e-07
"TNFRSF13B_ITGA3","TNFRSF13B","ITGA3",0.969876812322805,0.00598749379725926,0.969876812322805
"GRIN2B_ITGA3","GRIN2B","ITGA3",5.83703986951198e-16,3.6034720666593e-18,5.83703986951198e-16
"MC5R_ITGA2B","MC5R","ITGA2B",0.969461444911666,0.00564437299011787,0.969461444911666
"GALR2_ITGA2B","GALR2","ITGA2B",2.39391839684799e-16,1.39378088841339e-18,2.39391839684799e-16
"LTBP1_CX3CL1","LTBP1","CX3CL1",-0.346338160568377,0.00152566575004782,0.346338160568377
"CLEC2D_CX3CL1","CLEC2D","CX3CL1",0.0321516763312044,0.00290438163638759,0.0321516763312044
"MCAM_CX3CL1","MCAM","CX3CL1",0.042203220822838,0.000694359584294837,0.042203220822838
"SLC17A7_CX3CL1","SLC17A7","CX3CL1",0.0317257719678034,0.00051559388169702,0.0317257719678034
"ITGA4_CX3CL1","ITGA4","CX3CL1",0.0410038573640633,0.00540537016923979,0.0410038573640633
"FLT3_CX3CL1","FLT3","CX3CL1",0.0037065996606438,8.34274678912638e-05,0.0037065996606438
"KLB_CX3CL1","KLB","CX3CL1",-0.00345988280675699,4.29657846787098e-05,0.00345988280675699
"ANXA1_CX3CL1","ANXA1","CX3CL1",-0.00190607512378754,0.00309584252709534,0.00190607512378754
